reference						Dissection Angular gyrus AnG	Dissection Anterior cingulate cortex ACC	Dissection Dorsolateral prefrontal cortex DFC	Dissection Primary auditory cortexA1	Dissection Primary somatosensory cortex S1	Dissection Primary visual cortexV1	Human Multiple Cortical Areas SMART-seq	Single-nucleus transcriptome data from the dlPFC	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	whole cortex
DevBrain 1203399	DevBrain	None	adult	ASD	class	0.8950602409638555	0.8950602409638555	0.8308556955093099	0.8960602409638554	0.8943879720562924	0.8840354674180735	0.7802910101946245	0.9467910101946246	0.8950602409638555	0.8960602409638554	0.9582030981067128
DevBrain 1203399	DevBrain	None	adult	ASD	family	1.0	1.0	1.0	1.0	1.0	0.989890909090909	1.0	1.0	1.0	1.0	1.0
DevBrain 1203399	DevBrain	None	adult	ASD	subclass	0.8852631578947369	0.8952631578947369	0.8210586124401914	0.8853107769423559	0.8845908889871736	0.8830262631368336	0.7708748795064585	0.9068748795064584	0.8676441102756891	0.8853107769423559	0.9352631578947368
DevBrain 1203400	DevBrain	None	adult	ASD	class	0.9657934934273336	0.9657934934273336	0.9172890671420084	0.9657934934273336	0.9755555555555556	0.9657934934273336	0.7107933645870897	0.9801688857361124	0.9657934934273336	0.9657934934273336	0.9574910873440284
DevBrain 1203400	DevBrain	None	adult	ASD	family	1.0	1.0	0.990031746031746	1.0	1.0	1.0	1.0	0.990031746031746	1.0	1.0	0.990031746031746
DevBrain 1203400	DevBrain	None	adult	ASD	subclass	0.950377918290396	0.950377918290396	0.8862727272727272	0.9504993757802748	0.9668376068376068	0.953832709113608	0.7548413733159497	0.9810547785547786	0.950377918290396	0.950377918290396	0.956388111888112
DevBrain 1203401	DevBrain	None	adult	control	class	0.9657142857142856	0.9657142857142856	0.9429253731343284	0.9657142857142856	0.9657142857142856	0.9657142857142856	0.7388809523809523	0.9399915966386554	0.9657142857142856	0.9657142857142856	0.9760703933747412
DevBrain 1203401	DevBrain	None	adult	control	family	1.0	1.0	0.9901208674013507	1.0	1.0	1.0	1.0	0.979922222222222	1.0	1.0	0.9899820118998202
DevBrain 1203401	DevBrain	None	adult	control	subclass	0.9557142857142856	0.9557142857142856	0.9426666666666668	0.9557142857142856	0.9557142857142856	0.9557142857142856	0.7316750700280114	0.925	0.9557142857142856	0.9557142857142856	0.9636334185848252
DevBrain 1203402	DevBrain	None	adult	ASD	class	0.9499351851851852	0.9436377192982456	0.8395625942684767	0.95375	0.9478833333333332	0.9373377192982456	0.6598769607013187	0.9627934782608696	0.9436377192982456	0.934894827586207	0.929619298245614
DevBrain 1203402	DevBrain	None	adult	ASD	family	1.0	1.0	0.9799673913043476	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9899932166598834
DevBrain 1203402	DevBrain	None	adult	ASD	subclass	0.938824074074074	0.9327020467836258	0.8284514831573655	0.9426388888888888	0.9198833333333332	0.9264020467836256	0.6383856129685916	0.9516823671497586	0.9327020467836258	0.9244388888888888	0.9123490392648288
DevBrain 1203403	DevBrain	None	late adult	ASD	class	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
DevBrain 1203403	DevBrain	None	late adult	ASD	family	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
DevBrain 1203403	DevBrain	None	late adult	ASD	subclass	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
DevBrain 1203404	DevBrain	None	late adult	control	class	0.9501294792164356	0.9504576510446076	0.9263716120835686	0.9401294792164356	0.9401294792164356	0.9298046928916496	0.7237717497556205	0.9437909843779408	0.9604048913043478	0.9604048913043478	0.9401294792164356
DevBrain 1203404	DevBrain	None	late adult	control	family	1.0	0.990167672702884	0.9899754490244216	1.0	1.0	0.989805335255948	0.979998252512014	0.990167672702884	1.0	1.0	1.0
DevBrain 1203404	DevBrain	None	late adult	control	subclass	0.940447391688771	0.943297208538588	0.9042399741063534	0.930447391688771	0.930447391688771	0.9256781609195404	0.7505114942528734	0.8952972085385877	0.95536566091954	0.95536566091954	0.90149501073639
DevBrain 1203405	DevBrain	None	adolescent	ASD	class	0.9342715389185976	0.920251872659176	0.8606078431372549	0.9281333943833944	0.9179528985507246	0.9201075917546504	0.5982864844050828	0.9601833637380348	0.9201075917546504	0.9201075917546504	0.932214582802818
DevBrain 1203405	DevBrain	None	adolescent	ASD	family	1.0	0.99001898820019	0.98	0.9898485436893204	0.9793589743589745	0.99001898820019	1.0	0.99001898820019	0.99001898820019	0.99001898820019	0.9800702702702702
DevBrain 1203405	DevBrain	None	adolescent	ASD	subclass	0.899010101010101	0.884501872659176	0.7753933621933622	0.8888278388278387	0.8819806763285024	0.8933333333333334	0.5681076066790353	0.9114942528735632	0.8933333333333334	0.8933333333333334	0.9034509803921568
DevBrain 1203406	DevBrain	None	adult	Williams Syndrome	class	0.9544429708222812	0.9649336468129572	0.9146590468810538	0.964659046881054	0.964659046881054	0.964659046881054	0.6806872353297035	0.974933646812957	0.9649336468129572	0.964659046881054	0.9566003134796236
DevBrain 1203406	DevBrain	None	adult	Williams Syndrome	family	0.9797365754812564	1.0	0.9899374843710927	0.9899374843710927	0.9899374843710927	0.9899374843710927	1.0	1.0	1.0	0.9899374843710927	1.0
DevBrain 1203406	DevBrain	None	adult	Williams Syndrome	subclass	0.9485714285714286	0.926439393939394	0.8106434264861232	0.9500695559122526	0.9600695559122526	0.9600695559122526	0.65	0.9435108225108224	0.940344155844156	0.938402889245586	0.952391774891775
DevBrain 1203407	DevBrain	None	adult	control	class	0.9669557522123894	0.9669557522123894	0.923007293007293	0.9669557522123894	0.9669557522123894	0.9640466613032984	0.8415605590062113	0.9732323232323232	0.9477313797313796	0.9274080058411136	0.9288692810457516
DevBrain 1203407	DevBrain	None	adult	control	family	1.0	1.0	0.9901786316144252	1.0	1.0	1.0	0.98024375	0.9899317849602078	1.0	1.0	0.9797167325428195
DevBrain 1203407	DevBrain	None	adult	control	subclass	0.9588888888888888	0.9695555555555556	0.9094934333958724	0.9158888888888888	0.9308888888888888	0.9380000000000002	0.8493224932249323	0.9827777777777778	0.9637142857142856	0.9436470588235296	0.9267216856892012
DevBrain 1203408	DevBrain	None	adult	ASD	class	0.9334534161490684	0.9214021340977864	0.8724615384615386	0.9248545150501672	0.9386280193236716	0.9334534161490684	0.7454407814407814	0.9902587064676616	0.936092039800995	0.936092039800995	0.959521181716834
DevBrain 1203408	DevBrain	None	adult	ASD	family	1.0	0.989912087912088	0.9800060410108056	0.989912087912088	1.0	1.0	0.9899238095238097	0.9900666419844504	0.9899864519042602	0.9899864519042602	0.989912087912088
DevBrain 1203408	DevBrain	None	adult	ASD	subclass	0.9144534161490684	0.9024021340977864	0.8546153846153846	0.900521181716834	0.9196280193236716	0.9234534161490684	0.7567741147741148	0.9949253731343284	0.9393063255152808	0.9393063255152808	0.9238545150501674
DevBrain 1203409	DevBrain	None	adult	Williams Syndrome	class	0.8528435428034971	0.8528435428034971	0.7788031533683707	0.8528435428034971	0.8528435428034971	0.8490540691192865	0.5835577827969133	0.875453274457384	0.8377515367703144	0.8377515367703144	0.852023560412307
DevBrain 1203409	DevBrain	None	adult	Williams Syndrome	family	1.0	1.0	0.968532743362832	1.0	1.0	1.0	0.9899757546369256	1.0	1.0	1.0	0.9800813397129188
DevBrain 1203409	DevBrain	None	adult	Williams Syndrome	subclass	0.8636924040871409	0.8636924040871409	0.7001368631368631	0.8636924040871409	0.8636924040871409	0.8599029304029304	0.58472049689441	0.868960865899758	0.8531003980539584	0.8531003980539584	0.8473109243697479
DevBrain 1203410	DevBrain	None	adolescent	Williams Syndrome	class	0.9445454545454546	0.9445454545454546	0.8961519607843137	0.9445454545454546	0.9445454545454546	0.9445454545454546	0.73433896237921	0.9646212121212122	0.9445454545454546	0.9445454545454546	0.91985014985015
DevBrain 1203410	DevBrain	None	adolescent	Williams Syndrome	family	1.0	1.0	1.0	1.0	1.0	1.0	0.9899925361994328	1.0	1.0	1.0	0.9398928571428572
DevBrain 1203410	DevBrain	None	adolescent	Williams Syndrome	subclass	0.9240909090909092	0.9390909090909092	0.8881609195402299	0.9240909090909092	0.9240909090909092	0.9240909090909092	0.7191433756805807	0.9258333333333332	0.9390909090909092	0.9390909090909092	0.8926923076923078
GSE180670 1036082	GSE180670	None	None	None	class	0.850574712643678	0.7878787878787878	0.7654320987654321	0.7804878048780488	0.8023952095808383	0.9637305699481864	1.0	0.8165680473372781	0.8888888888888888	0.9247311827956988	0.9130434782608696
GSE180670 1036082	GSE180670	None	None	None	family	1.0	1.0	1.0	1.0	1.0	0.9949748743718592	1.0	1.0	0.9949748743718592	1.0	1.0
GSE180670 1036082	GSE180670	None	None	None	subclass	0.6671052631578948	0.6218181818181818	0.6128571428571429	0.648169014084507	0.6670344827586208	0.6568421052631578	0.6835955056179777	0.6685714285714285	0.6516455696202531	0.6658536585365853	0.6548148148148148
GSE180670 1036083	GSE180670	None	None	None	class	0.7730061349693251	0.8304093567251463	0.7730061349693251	0.6013986013986014	0.7878787878787878	0.8439306358381503	0.8372093023255814	0.6666666666666665	0.7577639751552795	0.7951807228915662	0.7730061349693251
GSE180670 1036083	GSE180670	None	None	None	family	0.9417989417989416	0.98989898989899	1.0	0.9637305699481864	1.0	0.9304812834224598	0.8372093023255814	1.0	0.9247311827956988	0.9473684210526316	1.0
GSE180670 1036083	GSE180670	None	None	None	subclass	0.5333333333333333	0.5437762237762237	0.4693333333333334	0.4382608695652174	0.515036496350365	0.5164137931034483	0.51	0.4957377049180328	0.476390977443609	0.4904347826086957	0.4693333333333334
GSE180670 1036084	GSE180670	None	None	None	class	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE180670 1036084	GSE180670	None	None	None	family	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE180670 1036084	GSE180670	None	None	None	subclass	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE180670 1036085	GSE180670	None	None	None	class	0.9417989417989416	0.8095238095238095	0.7012987012987013	0.6842105263157895	0.8571428571428571	0.9847715736040608	0.98989898989899	0.8165680473372781	0.9583333333333336	0.9637305699481864	0.9743589743589745
GSE180670 1036085	GSE180670	None	None	None	family	1.0	1.0	1.0	1.0	1.0	1.0	0.98989898989899	1.0	1.0	1.0	1.0
GSE180670 1036085	GSE180670	None	None	None	subclass	0.8011494252873562	0.7111111111111111	0.6237410071942446	0.5956204379562045	0.754375	0.7846153846153847	0.780327868852459	0.6954545454545454	0.7779661016949153	0.7831460674157303	0.7744444444444444
GSE211870 1036042	GSE211870	male	late adult	Control	class	0.9901229088426085	0.98	1.0	0.9901229088426085	1.0	0.9901229088426085	0.9901229088426085	1.0	1.0	1.0	1.0
GSE211870 1036042	GSE211870	male	late adult	Control	family	0.9901229088426085	0.98	1.0	0.9901229088426085	1.0	0.9901229088426085	0.9901229088426085	1.0	1.0	1.0	1.0
GSE211870 1036042	GSE211870	male	late adult	Control	subclass	0.9901229088426085	0.98	1.0	0.9901229088426085	1.0	0.9901229088426085	0.9901229088426085	1.0	1.0	1.0	1.0
GSE211870 1036043	GSE211870	male	late adult	Control	class	0.9897644664146554	0.9897644664146554	0.9839165131982812	0.9897644664146554	0.9897644664146554	0.9897644664146554	0.9897644664146554	0.9847368421052632	0.9897644664146554	0.9897644664146554	0.9897644664146554
GSE211870 1036043	GSE211870	male	late adult	Control	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GSE211870 1036043	GSE211870	male	late adult	Control	subclass	0.9798012326413518	0.9798012326413518	0.9739532794249774	0.9798012326413518	0.9798012326413518	0.9798012326413518	0.9798012326413518	0.8979559329559329	0.9798012326413518	0.9798012326413518	0.9312182366899348
GSE211870 1036044	GSE211870	male	late adult	Control	class	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GSE211870 1036044	GSE211870	male	late adult	Control	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GSE211870 1036044	GSE211870	male	late adult	Control	subclass	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9866666666666668	1.0	1.0	0.976
GSE211870 1036045	GSE211870	male	late adult	Control	class	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE211870 1036045	GSE211870	male	late adult	Control	family	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE211870 1036045	GSE211870	male	late adult	Control	subclass	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE237718 1180306	GSE237718	female	late adult	None	class	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE237718 1180306	GSE237718	female	late adult	None	family	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE237718 1180306	GSE237718	female	late adult	None	subclass	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE237718 1180307	GSE237718	female	late adult	None	class	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GSE237718 1180307	GSE237718	female	late adult	None	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GSE237718 1180307	GSE237718	female	late adult	None	subclass	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9944444444444444	1.0	1.0	1.0
GSE237718 1180308	GSE237718	male	late adult	None	class	0.9748648648648648	0.99	0.955255108767304	0.9748648648648648	0.99	0.9748648648648648	0.9734215384615384	0.9798387096774194	0.99	0.99	0.9848648648648648
GSE237718 1180308	GSE237718	male	late adult	None	family	0.98	1.0	0.951255108767304	0.98	1.0	0.98	0.979985347985348	0.9803650254668932	1.0	1.0	0.99
GSE237718 1180308	GSE237718	male	late adult	None	subclass	0.9748648648648648	0.99	0.955255108767304	0.9748648648648648	0.99	0.9748648648648648	0.9734215384615384	0.9798387096774194	0.99	0.99	0.9648648648648648
GSE237718 1180309	GSE237718	male	late adult	None	class	0.977754123871771	0.9883703703703705	0.97	0.977754123871771	0.977754123871771	0.977754123871771	0.9542709715465132	0.9363501683501684	0.9883703703703705	0.9883703703703705	0.9699349962207106
GSE237718 1180309	GSE237718	male	late adult	None	family	0.9893837535014004	1.0	0.9905200945626476	0.9893837535014004	0.9893837535014004	0.9893837535014004	0.9699919137466309	0.9514520202020202	1.0	1.0	0.9899329242186384
GSE237718 1180309	GSE237718	male	late adult	None	subclass	0.9777621318797788	0.9883783783783784	0.969045045045045	0.9777621318797788	0.9777621318797788	0.9777621318797788	0.9540896358543418	0.9363581763581764	0.9883783783783784	0.9883783783783784	0.963276337562052
GSE237718 1180310	GSE237718	male	late adult	None	class	0.9754303189165574	0.984920634920635	0.9702910052910052	0.99	0.984920634920635	0.976954128440367	0.9798148148148148	0.984920634920635	0.984920634920635	0.984920634920635	0.984920634920635
GSE237718 1180310	GSE237718	male	late adult	None	family	0.9899619572346844	0.9899619572346844	0.970905695611578	1.0	0.9899619572346844	1.0	0.9801335387776068	0.9899619572346844	0.9899619572346844	0.9899619572346844	0.9899619572346844
GSE237718 1180310	GSE237718	male	late adult	None	subclass	0.9747619047619048	0.984920634920635	0.946031746031746	0.99	0.984920634920635	0.9762857142857144	0.979233082706767	0.9449206349206348	0.984920634920635	0.984920634920635	0.9449206349206348
GSE237718 1180311	GSE237718	female	late adult	None	class	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GSE237718 1180311	GSE237718	female	late adult	None	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GSE237718 1180311	GSE237718	female	late adult	None	subclass	1.0	1.0	0.9566666666666668	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9885714285714288
GSE237718 1180312	GSE237718	female	late adult	None	class	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE237718 1180312	GSE237718	female	late adult	None	family	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE237718 1180312	GSE237718	female	late adult	None	subclass	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE237718 1180313	GSE237718	male	late adult	None	class	1.0	1.0	0.980925925925926	1.0	0.9898148148148148	0.9898148148148148	0.9898148148148148	0.9898148148148148	1.0	0.9898148148148148	0.9896666666666668
GSE237718 1180313	GSE237718	male	late adult	None	family	1.0	1.0	1.0	1.0	0.9801512096774192	0.9801512096774192	0.9801512096774192	0.9801512096774192	1.0	0.9801512096774192	0.9798229166666668
GSE237718 1180313	GSE237718	male	late adult	None	subclass	1.0	1.0	0.92756038647343	1.0	0.9897826086956522	0.9897826086956522	0.9897826086956522	0.9097826086956522	1.0	0.9897826086956522	0.9533030303030304
GSE237718 1180314	GSE237718	male	late adult	None	class	0.9898095238095236	0.979188679245283	0.9793163602074492	0.979188679245283	0.9898095238095236	0.9898095238095236	0.9749180327868852	0.9847619047619048	1.0	1.0	0.9099434069043576
GSE237718 1180314	GSE237718	male	late adult	None	family	0.9898095238095236	0.979188679245283	0.9603420012330904	0.979188679245283	0.9898095238095236	0.9898095238095236	0.9700743639921724	0.9798285714285714	1.0	1.0	0.8510797705407214
GSE237718 1180314	GSE237718	male	late adult	None	subclass	0.9898095238095236	0.979188679245283	0.9647009755920648	0.979188679245283	0.9898095238095236	0.9898095238095236	0.9748936170212766	0.9547619047619048	1.0	1.0	0.8799434069043577
GSE237718 1180315	GSE237718	male	late adult	None	class	0.9897032436162873	0.9897032436162873	0.968869910282954	0.9897032436162873	0.9897032436162873	0.9897032436162873	0.9897032436162873	0.9897032436162873	0.9897032436162873	0.984920634920635	0.9897032436162873
GSE237718 1180315	GSE237718	male	late adult	None	family	0.9798786822127784	0.9798786822127784	0.942152958152958	0.9798786822127784	0.9798786822127784	0.9798786822127784	0.9798786822127784	0.9798786822127784	0.9798786822127784	0.9799648827082456	0.9798786822127784
GSE237718 1180315	GSE237718	male	late adult	None	subclass	0.9897032436162873	0.9897032436162873	0.9597032436162872	0.9897032436162873	0.9897032436162873	0.9897032436162873	0.9897032436162873	0.9897032436162873	0.9897032436162873	0.984920634920635	0.9842486981617417
GSE237718 1180316	GSE237718	male	late adult	None	class	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE237718 1180316	GSE237718	male	late adult	None	family	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE237718 1180316	GSE237718	male	late adult	None	subclass	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE237718 1180317	GSE237718	male	late adult	None	class	1.0	1.0	0.9755555555555556	1.0	1.0	0.9905200945626476	0.98	0.98	1.0	1.0	0.9933333333333332
GSE237718 1180317	GSE237718	male	late adult	None	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GSE237718 1180317	GSE237718	male	late adult	None	subclass	1.0	1.0	0.9755555555555556	1.0	1.0	0.9905128205128206	0.98	0.98	1.0	1.0	0.9876190476190476
GSE237718 1180318	GSE237718	female	late adult	None	class	1.0	1.0	1.0	1.0	1.0	1.0	0.9902564102564102	0.9902564102564102	1.0	0.9902564102564102	0.994964539007092
GSE237718 1180318	GSE237718	female	late adult	None	family	1.0	1.0	1.0	1.0	1.0	1.0	0.9902564102564102	0.9902564102564102	1.0	0.9902564102564102	0.9903506017791732
GSE237718 1180318	GSE237718	female	late adult	None	subclass	1.0	1.0	0.9857142857142857	1.0	1.0	1.0	0.9902564102564102	0.9902564102564102	1.0	0.9902564102564102	0.975
GSE237718 1180319	GSE237718	male	late adult	None	class	0.99	0.99	0.9766312056737588	0.9804190844616376	0.9804190844616376	0.9804190844616376	0.9804190844616376	0.99	0.99	0.99	0.9804190844616376
GSE237718 1180319	GSE237718	male	late adult	None	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GSE237718 1180319	GSE237718	male	late adult	None	subclass	0.99	0.99	0.9766129032258064	0.9804007820136852	0.9804007820136852	0.9804007820136852	0.9804007820136852	0.94	0.99	0.99	0.9599462365591398
GSE237718 1180320	GSE237718	female	late adult	None	class	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GSE237718 1180320	GSE237718	female	late adult	None	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GSE237718 1180320	GSE237718	female	late adult	None	subclass	1.0	1.0	0.9852173913043478	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9652173913043478
GSE237718 1180321	GSE237718	female	late adult	None	class	1.0	0.9948780487804878	0.9742530487804878	1.0	1.0	1.0	1.0	1.0	0.9948780487804878	1.0	1.0
GSE237718 1180321	GSE237718	female	late adult	None	family	1.0	0.9899125315391084	0.9537905783313152	1.0	1.0	1.0	1.0	1.0	0.9899125315391084	1.0	1.0
GSE237718 1180321	GSE237718	female	late adult	None	subclass	1.0	0.9948780487804878	0.9163066202090592	1.0	1.0	1.0	1.0	0.9571428571428572	0.9948780487804878	1.0	0.988
GSE237718 1180322	GSE237718	male	late adult	None	class	1.0	1.0	1.0	1.0	1.0	1.0	0.9803809523809522	1.0	1.0	1.0	0.9901748040988548
GSE237718 1180322	GSE237718	male	late adult	None	family	1.0	1.0	1.0	1.0	1.0	1.0	0.9803809523809524	1.0	1.0	1.0	1.0
GSE237718 1180322	GSE237718	male	late adult	None	subclass	1.0	1.0	1.0	1.0	1.0	1.0	0.9803809523809524	0.9823529411764704	1.0	1.0	0.9129966329966328
GSE237718 1180323	GSE237718	male	late adult	None	class	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE237718 1180323	GSE237718	male	late adult	None	family	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE237718 1180323	GSE237718	male	late adult	None	subclass	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE237718 1180324	GSE237718	male	late adult	None	class	1.0	1.0	0.9791836734693876	1.0	1.0	0.990283828382838	0.990314192849404	1.0	1.0	0.9896139476961394	1.0
GSE237718 1180324	GSE237718	male	late adult	None	family	1.0	1.0	0.9642857142857144	1.0	1.0	1.0	0.990314192849404	1.0	1.0	0.9896139476961394	1.0
GSE237718 1180324	GSE237718	male	late adult	None	subclass	1.0	1.0	0.96	1.0	1.0	0.9902666666666669	0.990314192849404	0.93	1.0	0.9896139476961394	0.9883333333333334
GSE237718 1180325	GSE237718	male	late adult	None	class	1.0	1.0	0.9896608373078962	1.0	1.0	1.0	0.9898181818181818	1.0	1.0	1.0	1.0
GSE237718 1180325	GSE237718	male	late adult	None	family	1.0	1.0	0.98	1.0	1.0	1.0	0.9801676671785564	1.0	1.0	1.0	1.0
GSE237718 1180325	GSE237718	male	late adult	None	subclass	1.0	1.0	0.9672816399286988	1.0	1.0	1.0	0.9897674418604652	0.97	1.0	1.0	1.0
GSE237718 1180326	GSE237718	female	late adult	None	class	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GSE237718 1180326	GSE237718	female	late adult	None	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GSE237718 1180326	GSE237718	female	late adult	None	subclass	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9866666666666666	1.0	1.0	0.976
GSE237718 1180327	GSE237718	female	late adult	None	class	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE237718 1180327	GSE237718	female	late adult	None	family	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE237718 1180327	GSE237718	female	late adult	None	subclass	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE237718 1180328	GSE237718	female	late adult	None	class	0.9796121212121212	0.99	0.9655238095238096	0.99	0.99	0.99	0.9752702506742976	0.99	0.99	0.99	0.9693399750933998
GSE237718 1180328	GSE237718	female	late adult	None	family	0.9896121212121212	1.0	0.9595351089588376	1.0	1.0	1.0	0.9803403675970048	1.0	1.0	1.0	0.9695123888865032
GSE237718 1180328	GSE237718	female	late adult	None	subclass	0.9796121212121212	0.99	0.9655238095238096	0.99	0.99	0.99	0.9752572987045188	0.99	0.99	0.99	0.9693399750933998
GSE237718 1180329	GSE237718	male	late adult	None	class	1.0	1.0	0.9949612403100776	1.0	1.0	1.0	1.0	0.994909090909091	1.0	1.0	0.994909090909091
GSE237718 1180329	GSE237718	male	late adult	None	family	1.0	1.0	0.9904169514695832	1.0	1.0	1.0	1.0	0.989946127946128	1.0	1.0	0.989946127946128
GSE237718 1180329	GSE237718	male	late adult	None	subclass	1.0	1.0	0.99	1.0	1.0	1.0	1.0	0.994909090909091	1.0	1.0	0.994909090909091
GSE237718 1180330	GSE237718	male	late adult	None	class	0.9790625	0.990181190681622	0.9896616345653304	1.0	1.0	0.9740182522123894	0.975622418879056	0.990181190681622	0.990181190681622	0.990181190681622	0.96875
GSE237718 1180330	GSE237718	male	late adult	None	family	0.9790625	0.990181190681622	0.98	1.0	1.0	0.969400290885585	0.9717675070028012	0.990181190681622	0.990181190681622	0.990181190681622	0.9589139344262296
GSE237718 1180330	GSE237718	male	late adult	None	subclass	0.9790625	0.990181190681622	0.9880392156862746	1.0	1.0	0.974011994949495	0.9756161616161616	0.960181190681622	0.990181190681622	0.990181190681622	0.96275
GSE237718 1180331	GSE237718	male	late adult	None	class	0.978358662613982	0.9933333333333332	0.9384979687641056	0.9835187969924812	0.9641593302910796	0.9740296582849776	0.9599169060486554	0.9749473684210526	0.978358662613982	0.9740296582849776	0.9659748427672956
GSE237718 1180331	GSE237718	male	late adult	None	family	0.9900427289559892	1.0	0.9486415094339624	1.0	0.9901296720061022	1.0	0.9703021370670598	0.9900427289559892	0.9900427289559892	1.0	0.9486415094339624
GSE237718 1180331	GSE237718	male	late adult	None	subclass	0.9782513661202183	0.983174603174603	0.9384686331299384	0.9834894613583138	0.9640520337973164	0.9739223617912144	0.9598096095548924	0.9210718789407314	0.9782513661202183	0.973909090909091	0.9121286889211416
GSE237718 1180332	GSE237718	male	late adult	None	class	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GSE237718 1180332	GSE237718	male	late adult	None	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GSE237718 1180332	GSE237718	male	late adult	None	subclass	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GSE237718 1180333	GSE237718	female	late adult	None	class	1.0	1.0	0.98984375	1.0	1.0	1.0	1.0	0.9949019607843136	1.0	0.9949019607843136	1.0
GSE237718 1180333	GSE237718	female	late adult	None	family	1.0	1.0	0.981279317697228	1.0	1.0	1.0	1.0	0.9899384571346788	1.0	0.9899384571346788	1.0
GSE237718 1180333	GSE237718	female	late adult	None	subclass	1.0	1.0	0.98	1.0	1.0	1.0	1.0	0.9649019607843136	1.0	0.9949019607843136	0.985
GSE237718 1180334	GSE237718	male	late adult	None	class	0.99	0.99	0.9847619047619048	0.9847619047619048	0.99	0.99	0.9800954400848356	0.99	0.99	0.99	0.99
GSE237718 1180334	GSE237718	male	late adult	None	family	1.0	1.0	0.9897984011122696	0.9897984011122696	1.0	1.0	0.9900954400848356	1.0	1.0	1.0	1.0
GSE237718 1180334	GSE237718	male	late adult	None	subclass	0.99	0.99	0.9847619047619048	0.9847619047619048	0.99	0.99	0.9800954400848356	0.945	0.99	0.99	0.9553846153846156
GSE237718 1180335	GSE237718	female	late adult	None	class	1.0	0.994927536231884	0.9846470588235294	1.0	1.0	1.0	0.9705445744251712	0.9802614379084968	1.0	1.0	0.9741637136782424
GSE237718 1180335	GSE237718	female	late adult	None	family	1.0	0.9899790826236368	0.970003378671056	1.0	1.0	1.0	0.9705445744251712	0.9802614379084968	1.0	1.0	0.9506589406744206
