reference								Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	Single-cell RNA-seq for all cortical  hippocampal regions 10x	Single-cell RNA-seq for all cortical  hippocampal regions 10x	Single-cell RNA-seq for all cortical  hippocampal regions 10x	Single-cell RNA-seq for all cortical  hippocampal regions 10x	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	whole cortex	whole cortex	whole cortex	whole cortex
GSE214244 1011516	GSE214244	male	7 months	wild type genotype	C57BL/6J	None	global	0.5560048307380047	nan	nan	nan	0.9990505152911128	nan	nan	0.9983858770862716	0.997721238670852	nan	nan	0.9511320895738664	nan	nan	0.9984333468441008	0.9905040875566988	nan	nan
GSE214244 1011516	GSE214244	male	7 months	wild type genotype	C57BL/6J	None	subclass	0.6084910076288839	nan	nan	nan	0.965879991981346	nan	nan	0.4563677138418475	0.5588349076676467	nan	nan	0.429381784781179	nan	nan	0.5027695476181547	0.4753884228054353	nan	nan
GSE214244 1011517	GSE214244	male	7 months	wild type genotype	C57BL/6J	None	class	0.8178455334725605	nan	0.8422253963008601	nan	nan	0.9461739018591908	nan	nan	nan	0.3364936472194992	nan	nan	0.2888542246658206	nan	nan	nan	0.4858787572558848	nan
GSE214244 1011517	GSE214244	male	7 months	wild type genotype	C57BL/6J	None	family	0.8253912411608141	nan	0.8528027708429532	nan	nan	0.9920939468523278	nan	nan	nan	0.9930677305102856	nan	nan	0.9336187667588588	nan	nan	nan	0.9922005100138828	nan
GSE214244 1011517	GSE214244	male	7 months	wild type genotype	C57BL/6J	None	global	0.8128783182309609	nan	0.8447531500936659	nan	nan	0.9948083525040105	nan	nan	nan	0.9939323668889576	nan	nan	0.9277962446910408	nan	nan	nan	0.9930643064315549	nan
GSE214244 1011517	GSE214244	male	7 months	wild type genotype	C57BL/6J	None	subclass	0.7664240103278486	nan	0.7998697431112121	nan	nan	0.9127489497245972	nan	nan	nan	0.2564783736630995	nan	nan	0.2148072864568577	nan	nan	nan	0.4517135551237189	nan
GSE214244 1011518	GSE214244	male	7 months	AppNL-G-F/NL-G-F	C57BL/6J	None	class	nan	nan	0.837598053851949	nan	nan	0.9298565557106558	nan	nan	nan	0.4644505936821074	nan	nan	0.4119934991772183	nan	nan	nan	0.7152235309437212	nan
GSE214244 1011518	GSE214244	male	7 months	AppNL-G-F/NL-G-F	C57BL/6J	None	family	nan	nan	0.8587669508136421	nan	nan	0.9840297817407684	nan	nan	nan	0.9844398127302538	nan	nan	0.9227638040755132	nan	nan	nan	0.9892115857959048	nan
GSE214244 1011518	GSE214244	male	7 months	AppNL-G-F/NL-G-F	C57BL/6J	None	global	nan	nan	0.85016223339148	nan	nan	0.9885041924747484	nan	nan	nan	0.9859307546814182	nan	nan	0.91690220613158	nan	nan	nan	0.9909129286794552	nan
GSE214244 1011518	GSE214244	male	7 months	AppNL-G-F/NL-G-F	C57BL/6J	None	subclass	nan	nan	0.7883406750971682	nan	nan	0.8894357539867058	nan	nan	nan	0.3604236515759411	nan	nan	0.3105532051273884	nan	nan	nan	0.6727552186507398	nan
GSE214244 1011519	GSE214244	male	7 months	wild type genotype	C57BL/6J	None	class	nan	nan	0.840241946920778	0.9552404254944185	nan	0.9505355412027208	nan	nan	0.4204055785752593	0.431090942283	0.4196413106460566	nan	0.3836114743835486	0.397621023848926	nan	0.4405837683491252	0.5604177865129085	0.4306809701736688
GSE214244 1011519	GSE214244	male	7 months	wild type genotype	C57BL/6J	None	family	nan	nan	0.8540011302877017	0.9686054248499292	nan	0.9879235946183158	nan	nan	0.9984411297785476	0.9874687938961514	0.9984408808395075	nan	0.9299836609973836	0.9702390095513044	nan	0.999016113060126	0.9875670234837632	0.9983598496359058
GSE214244 1011519	GSE214244	male	7 months	wild type genotype	C57BL/6J	None	global	nan	nan	0.8587465917744503	0.9714836073836146	nan	0.9937539804270248	nan	nan	0.999260796007734	0.9906504811947776	0.99917864063478	nan	0.9258978354504838	0.9723106813340668	nan	0.9998357395990332	0.9899461998108546	0.9994251035214732
GSE214244 1011519	GSE214244	male	7 months	wild type genotype	C57BL/6J	None	subclass	nan	nan	0.7989400164335293	0.954059637845663	nan	0.9226658807829672	nan	nan	0.3305699583320979	0.342364608817301	0.3302815866685331	nan	0.2974954829385902	0.3113432579083865	nan	0.4100717970208555	0.5304455698234011	0.4007465398198526
GSE214244 1011520	GSE214244	male	7 months	AppNL-G-F/NL-G-F	C57BL/6J	None	class	nan	nan	0.7926058825714142	nan	nan	0.964330482144159	nan	nan	nan	0.496521207649685	0.6276359863104475	nan	0.4734673972483973	0.5089190355863469	nan	nan	0.6121528182088924	0.4970275728175158
GSE214244 1011520	GSE214244	male	7 months	AppNL-G-F/NL-G-F	C57BL/6J	None	family	nan	nan	0.8081203808978898	nan	nan	0.9793380135129622	nan	nan	nan	0.978252242573025	0.963518805733263	nan	0.945153634733186	0.977102745691675	nan	nan	0.9668030551529064	0.9643334240233364
GSE214244 1011520	GSE214244	male	7 months	AppNL-G-F/NL-G-F	C57BL/6J	None	global	nan	nan	0.7611618637221759	nan	nan	0.9988506066217504	nan	nan	nan	0.9895985631080388	0.9995894883853932	nan	0.9457398839624264	0.9827611093610652	nan	nan	0.971400667679154	0.9995894883853932
GSE214244 1011520	GSE214244	male	7 months	AppNL-G-F/NL-G-F	C57BL/6J	None	subclass	nan	nan	0.7726844283291155	nan	nan	0.9523967145686464	nan	nan	nan	0.4581018614679456	0.5891806665307611	nan	0.435958364011256	0.4711072973113813	nan	nan	0.5990696884047918	0.4822687906253564
GSE214244 1011521	GSE214244	male	7 months	AppNL-G-F/NL-G-F	C57BL/6J	None	class	0.5657097266524568	nan	0.7088299821249483	nan	0.9598469219234737	0.9584759949655236	nan	0.6303539896223913	0.723648662390378	0.6293918213327306	nan	0.588060562652993	0.5615518888343437	nan	0.6631958178728685	0.6317117868682113	0.7341503854966678	nan
GSE214244 1011521	GSE214244	male	7 months	AppNL-G-F/NL-G-F	C57BL/6J	None	family	0.5857735939149791	nan	0.7285686280656821	nan	0.983408904613328	0.981502383915956	nan	0.9854692882242432	0.9404179080502396	0.9819027029569332	nan	0.9348419098343304	0.9011904062250484	nan	0.9857971008933007	0.9406666378513222	0.9680973921499264	nan
GSE214244 1011521	GSE214244	male	7 months	AppNL-G-F/NL-G-F	C57BL/6J	None	global	0.4828086817860055	nan	0.6502748811936552	nan	0.9978616108190131	0.9957262572567976	nan	0.9970708630428516	0.9988837246495216	0.991204054105368	nan	0.9263031917870964	0.8778351946085036	nan	0.9978589033954144	0.9967399286452668	0.972978456999464	nan
GSE214244 1011521	GSE214244	male	7 months	AppNL-G-F/NL-G-F	C57BL/6J	None	subclass	0.4977155135654295	nan	0.6675064493512605	nan	0.9423236359440892	0.9406583687331987	nan	0.5792416827992592	0.6724026414590912	0.5783407645410003	nan	0.5387396169098597	0.5126739570962013	nan	0.643882642353075	0.6138309917855684	0.7135714932689692	nan
GSE247339.1 1051940	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	class	nan	nan	0.6945493278339615	nan	nan	0.8033188888306325	nan	nan	nan	0.795114520597657	nan	nan	0.715488309053144	nan	nan	nan	0.7800791090491408	nan
GSE247339.1 1051940	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	family	nan	nan	0.819771559788196	nan	nan	0.9550371065641384	nan	nan	nan	0.9577579292901556	nan	nan	0.9128095750696412	nan	nan	nan	0.9363296562243342	nan
GSE247339.1 1051940	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	global	nan	nan	0.7391328692642452	nan	nan	0.921738561532101	nan	nan	nan	0.93391191652093	nan	nan	0.8784581547835149	nan	nan	nan	0.9163354476835408	nan
GSE247339.1 1051940	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	subclass	nan	nan	0.6892356840967847	nan	nan	0.7499616344350529	nan	nan	nan	0.6812709745886992	nan	nan	0.6288845785843985	nan	nan	nan	0.7128595479185139	nan
GSE247339.1 1051941	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	class	0.4521926082164231	nan	nan	nan	0.8125432658717471	nan	nan	0.8365379916641673	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE247339.1 1051941	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	family	0.5463103320892195	nan	nan	nan	0.9537019316788315	nan	nan	0.9459918544664676	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE247339.1 1051941	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	global	0.487355938318363	nan	nan	nan	0.9263925840940236	nan	nan	0.9159382146197244	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE247339.1 1051941	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	subclass	0.3760843601696798	nan	nan	nan	0.7725755060491069	nan	nan	0.7175081901304631	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE247339.1 1051942	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	class	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE247339.1 1051942	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	family	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE247339.1 1051942	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	global	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE247339.1 1051942	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	subclass	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE247339.1 1051943	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	class	nan	nan	0.5013972333578787	0.7854734280281217	nan	0.8176460000550163	nan	nan	nan	0.8318640762943501	0.864930299521905	nan	0.6811441477472646	0.7206105023514383	nan	nan	0.8273651824358703	0.88791868135121
GSE247339.1 1051943	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	family	nan	nan	0.5713898181218527	0.9305840789603126	nan	0.945721087773768	nan	nan	nan	0.93718144818101	0.9622005045905292	nan	0.8395877345327086	0.8869208331061845	nan	nan	0.9330260029662536	0.9762047274293436
GSE247339.1 1051943	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	global	nan	nan	0.5026264535446442	0.89301187772381	nan	0.9130764116046436	nan	nan	nan	0.908032397589716	0.9363372437696748	nan	0.8034852013053801	0.8394213645387869	nan	nan	0.9096942004191032	0.9758001118384996
GSE247339.1 1051943	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	subclass	nan	nan	0.3858833114636474	0.8009998398578209	nan	0.7731611767987809	nan	nan	nan	0.6795419153046144	0.7052260667259207	nan	0.5926136028743546	0.589893239998632	nan	nan	0.712311551696616	0.8599570542037402
GSE247339.1 1051944	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	class	nan	nan	0.5005046505176117	nan	nan	0.7919239462953794	nan	nan	nan	nan	0.8677191543956178	nan	nan	0.6806126961538466	nan	nan	0.7940895495004511	0.8430208195664546
GSE247339.1 1051944	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	family	nan	nan	0.6137342079047239	nan	nan	0.9350595188805884	nan	nan	nan	nan	0.9774857917536212	nan	nan	0.8741745532009001	nan	nan	0.9245142805993776	0.9748188043514984
GSE247339.1 1051944	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	global	nan	nan	0.5307088852696871	nan	nan	0.89501467682523	nan	nan	nan	nan	0.9592223220022918	nan	nan	0.8167136751963949	nan	nan	0.9002443777797119	0.9735555044282358
GSE247339.1 1051944	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	subclass	nan	nan	0.4102579814663535	nan	nan	0.7496645048243508	nan	nan	nan	nan	0.7197763943909312	nan	nan	0.5918304584821255	nan	nan	0.7056623738604757	0.8334521996771895
GSE247339.1 1051945	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	class	nan	nan	nan	nan	nan	nan	nan	nan	0.8520005160470661	nan	0.8480667559043881	nan	nan	0.7300770426663625	nan	0.8627193886290058	nan	0.871566052762062
GSE247339.1 1051945	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	family	nan	nan	nan	nan	nan	nan	nan	nan	0.9693903501435436	nan	0.9686526122823098	nan	nan	0.9113418056234468	nan	0.9798535049136722	nan	0.9898430667630568
GSE247339.1 1051945	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	global	nan	nan	nan	nan	nan	nan	nan	nan	0.9450467905382166	nan	0.9438447341014042	nan	nan	0.8606572019216963	nan	0.9629655429444932	nan	0.982884691669612
GSE247339.1 1051945	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	subclass	nan	nan	nan	nan	nan	nan	nan	nan	0.6999369739759543	nan	0.6949043548546425	nan	nan	0.5821929048196546	nan	0.832895385581722	nan	0.853641752742125
GSE247339.1 1051946	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	class	0.4888809300092687	nan	nan	nan	0.8209995965094985	nan	nan	0.8302746011205328	0.8543662123208475	nan	nan	0.7675404526494208	nan	nan	0.8535370587692407	nan	nan	nan
GSE247339.1 1051946	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	family	0.5789736355771385	nan	nan	nan	0.9572993838613434	nan	nan	0.9513057653692326	0.9638660702664394	nan	nan	0.9454949776956446	nan	nan	0.9688095308098548	nan	nan	nan
GSE247339.1 1051946	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	global	0.47984667658656	nan	nan	nan	0.9257065177926248	nan	nan	0.916353997261159	0.9358896745925012	nan	nan	0.9078972193829836	nan	nan	0.9454206919723868	nan	nan	nan
GSE247339.1 1051946	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	subclass	0.3948287586908912	nan	nan	nan	0.7825537910680306	nan	nan	0.7129170727014068	0.7294594103543947	nan	nan	0.6739472708555001	nan	nan	0.8000025277980253	nan	nan	nan
GSE247339.1 1051947	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	sham	class	0.5126355060275758	0.7430911930006256	nan	nan	0.8528419681910996	nan	nan	0.8676760231271197	0.8711086620336269	nan	nan	0.8333288938796867	nan	nan	0.8720013249061923	0.8795962427411684	nan	nan
GSE247339.1 1051947	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	sham	family	0.5963121048676083	0.8781994721238219	nan	nan	0.970459957692736	nan	nan	0.9761952294653624	0.9711504261482048	nan	nan	0.9616713001442588	nan	nan	0.9808389148616836	0.9790958237862308	nan	nan
GSE247339.1 1051947	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	sham	global	0.5424801765840611	0.8374712317136187	nan	nan	0.9518205985177298	nan	nan	0.9614074737024096	0.9527025882989776	nan	nan	0.9406062324358178	nan	nan	0.9709294738379276	0.9657486547005248	nan	nan
GSE247339.1 1051947	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	sham	subclass	0.454967798547533	0.7676761136796972	nan	nan	0.802962893946736	nan	nan	0.7439646325703513	0.7466757518997558	nan	nan	0.723577827902726	nan	nan	0.8234005477999117	0.8533714275262287	nan	nan
GSE247339.1 1051948	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	class	0.3879414286518156	0.6560848760475343	0.5205492677513738	nan	0.721034677410065	0.7276471439876909	0.8349382044759212	0.7477244143779458	0.7587878916238967	0.7438685468348565	0.7562715777252261	0.678007079890633	0.5822448700301464	0.6149510718808477	0.7590808224929457	0.7740498956225419	0.7178393217011857	0.8139595310837909
GSE247339.1 1051948	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	family	0.4538633181770657	0.7646035101127711	0.6004501621461394	nan	0.9369826144101316	0.936030694397853	0.942346268655586	0.8981815764103587	0.9376026015891076	0.9010994181348042	0.9416981752692696	0.9231376096228496	0.8460206845855441	0.8108496619849921	0.9220750104111776	0.9601072625365324	0.876751065327935	0.9468600538753176
GSE247339.1 1051948	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	global	0.3598488910969279	0.6879973094713253	0.512222897411337	nan	0.8974882215987244	0.8957917793081673	0.904823904795584	0.8444961443813296	0.8990792634783143	0.8559020277598518	0.9046147666929668	0.8779183506120776	0.8074353879633471	0.7398895381902056	0.8787275869973945	0.9323115123432842	0.8387501925643526	0.9447924343237706
GSE247339.1 1051948	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	subclass	0.3092380190960215	0.6275498169881535	0.3987453979204052	nan	0.6216029563443839	0.6292432657687745	0.7839458887635694	0.5740093472617667	0.5479328120602981	0.5573112168958227	0.5514774906849612	0.5465856884056319	0.4667286180648822	0.4660198725593391	0.6331853727356809	0.6862436675279578	0.5654060713424914	0.7667352487677443
GSE247339.1 1051949	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	class	0.3567821445694502	nan	0.573965472748758	0.7988064578383386	nan	0.7619536062855938	nan	0.7817507909485896	nan	0.7797920191049835	0.7774002057578527	0.7332910663892983	0.6557642881955874	0.6443176516659422	0.789212605961056	nan	0.757479831994989	0.8598781988712626
GSE247339.1 1051949	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	family	0.3937263372577397	nan	0.6439182565576826	0.895552636091482	nan	0.9509228016953238	nan	0.9599224816573834	nan	0.955429128060338	0.957328941181992	0.9404713086303048	0.8824196140227216	0.8704145670655791	0.966906953830626	nan	0.9379846155658108	0.9818645075829966
GSE247339.1 1051949	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	global	0.3120356512749955	nan	0.569292623804146	0.8460876034706848	nan	0.918631340247756	nan	0.9323839998592172	nan	0.9337326806595536	0.9285109346538368	0.9042839998817466	0.8501560876152605	0.8159101438490719	0.9432671135283656	nan	0.9175248080841656	0.9748700255059202
GSE247339.1 1051949	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	subclass	0.3063391147480871	nan	0.4901552313874611	0.8026190063089708	nan	0.6773309551922143	nan	0.5738161903089942	nan	0.5672698938980821	0.5663842172459004	0.5612972615997893	0.5087533301563363	0.4768014689000714	0.6732816799228382	nan	0.5889789436314915	0.8473298237583438
GSE247339.1 1051950	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	class	nan	nan	nan	nan	nan	nan	nan	nan	0.8713715924507364	nan	nan	nan	nan	nan	nan	0.8758547002564889	nan	nan
GSE247339.1 1051950	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	family	nan	nan	nan	nan	nan	nan	nan	nan	0.9769298203747347	nan	nan	nan	nan	nan	nan	0.9832196211184202	nan	nan
GSE247339.1 1051950	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	global	nan	nan	nan	nan	nan	nan	nan	nan	0.9580218363293124	nan	nan	nan	nan	nan	nan	0.9696184145348876	nan	nan
GSE247339.1 1051950	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	subclass	nan	nan	nan	nan	nan	nan	nan	nan	0.7141231465806052	nan	nan	nan	nan	nan	nan	0.8383979800930133	nan	nan
GSE247339.1 1051951	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	class	nan	nan	0.4703596061407114	0.7658325793246764	nan	0.6751969561869716	nan	nan	nan	0.6847347405028122	0.7174465238074272	nan	0.4186654964112203	0.5208772469874862	nan	nan	0.6792392329189161	0.7777590657754588
GSE247339.1 1051951	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	family	nan	nan	0.5317599267384371	0.897104215720392	nan	0.93506410696038	nan	nan	nan	0.8386946307336643	0.9483441044850608	nan	0.761461424514446	0.7619596087450267	nan	nan	0.8344070509920569	0.9629638292890768
GSE247339.1 1051951	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	global	nan	nan	0.4591309000753428	0.85061026556549	nan	0.8983587212253371	nan	nan	nan	0.7877192491742842	0.9165906516420926	nan	0.7176585395669127	0.6988248123527687	nan	nan	0.7889007395554857	0.9629638292890768
GSE247339.1 1051951	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	subclass	nan	nan	0.2820103373568959	0.7206174625483992	nan	0.5220959669449549	nan	nan	nan	0.4904549954719915	0.4847757018425935	nan	0.3309231544034048	0.4123854919435764	nan	nan	0.4947431248095275	0.7067541225070976
GSE247339.1 1051952	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	class	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE247339.1 1051952	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	family	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE247339.1 1051952	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	global	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE247339.1 1051952	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	T4	subclass	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE247339.1 1051953	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	sham	class	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE247339.1 1051953	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	sham	family	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE247339.1 1051953	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	sham	global	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE247339.1 1051953	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	sham	subclass	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE247339.1 1051954	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	class	0.4273629848888047	nan	0.5824372684342957	0.8223833588796066	0.8571500263970735	0.8718439404248527	nan	0.8737620828644996	0.8829549272457302	0.8747754042078509	0.8794425197275186	0.8129623662699913	0.7111215472557108	0.8152361502001875	0.8851375266043024	0.8909583870463313	0.8662893139598316	0.8915457413600553
GSE247339.1 1051954	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	family	0.494899599728995	nan	0.6593134132544896	0.9365168077261138	0.949377950991918	0.963272721221537	nan	0.9546119289741476	0.9630622442491446	0.9533472549783596	0.960190221599688	0.9356505154218486	0.8401129490212891	0.8865078131340626	0.965999318790744	0.9739577606868643	0.9430484479889578	0.9812784268710832
GSE247339.1 1051954	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	global	0.4369589682849139	nan	0.6043146463200523	0.9042578874449094	0.9213085499830076	0.9404627090007418	nan	0.928109502614004	0.939868463343234	0.931850900963634	0.9356965457294892	0.904197705109408	0.8106269529988074	0.8450370220380705	0.9456518255457408	0.9558306712522312	0.9257868238192556	0.9714077063258844
GSE247339.1 1051954	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	subclass	0.3328577758141047	nan	0.4834143093423301	0.834313964216407	0.8284481697258592	0.8432633377996339	nan	0.7330734365916903	0.7332313774158853	0.7278106463146303	0.7216209370224494	0.6917127901234112	0.6031034851584719	0.6746452542376309	0.8445374431043865	0.8733596646559041	0.8036348108074342	0.8578591079810151
GSE247339.1 1051955	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	class	nan	nan	0.6302246981064848	nan	0.858023906615529	0.8752279673761361	nan	nan	nan	0.8877879906118769	nan	nan	0.798327740510882	nan	nan	nan	0.8745218285240565	nan
GSE247339.1 1051955	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	family	nan	nan	0.727820826848383	nan	0.9614166219299176	0.9727339164498432	nan	nan	nan	0.9742140563152116	nan	nan	0.908881403946597	nan	nan	nan	0.9664255625410664	nan
GSE247339.1 1051955	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	global	nan	nan	0.6775182577016008	nan	0.9377861716131664	0.9541185906117122	nan	nan	nan	0.9616354562985516	nan	nan	0.8852178541523629	nan	nan	nan	0.9570721280907888	nan
GSE247339.1 1051955	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	subclass	nan	nan	0.5853065743484668	nan	0.8195817183086054	0.8482802114160116	nan	nan	nan	0.7516392112294814	nan	nan	0.6873607994099573	nan	nan	nan	0.8034431982621264	nan
GSE247339.1 1051956	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	sham	class	nan	nan	nan	0.7505989485060988	nan	nan	nan	nan	nan	nan	0.8397013998474823	nan	nan	0.7278897272388333	nan	nan	nan	0.8584324224423051
GSE247339.1 1051956	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	sham	family	nan	nan	nan	0.9385096125452456	nan	nan	nan	nan	nan	nan	0.975056474656084	nan	nan	0.9100424233105	nan	nan	nan	0.9801245967114748
GSE247339.1 1051956	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	sham	global	nan	nan	nan	0.89855645635462	nan	nan	nan	nan	nan	nan	0.9552307400392096	nan	nan	0.8591159469520728	nan	nan	nan	0.9798474116829742
GSE247339.1 1051956	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	sham	subclass	nan	nan	nan	0.7739051976869086	nan	nan	nan	nan	nan	nan	0.6718494385118247	nan	nan	0.5788091012234985	nan	nan	nan	0.7595231026119
GSE247339.1 1051957	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	class	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE247339.1 1051957	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	family	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE247339.1 1051957	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	global	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE247339.1 1051957	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	subclass	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE247339.1 1051958	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	class	nan	nan	nan	nan	nan	nan	nan	nan	0.8770517182171665	nan	nan	nan	nan	nan	nan	0.8777834179086755	nan	nan
GSE247339.1 1051958	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	family	nan	nan	nan	nan	nan	nan	nan	nan	0.979834971511352	nan	nan	nan	nan	nan	nan	0.9874261505813466	nan	nan
GSE247339.1 1051958	GSE247339.1	male	10 weeks	None	C57BL/6J (B6)	TBI	global	nan	nan	nan	nan	nan	nan	nan	nan	0.964142137589356	nan	nan	nan	nan	nan	nan	0.9783199313749088	nan	nan
